level,cluster_id,zone_name,centroid_lat,centroid_lon,polygon_wkt,lat_min,lat_max,lon_min,lon_max,count_points,nearest_muster_name,nearest_muster_lat,nearest_muster_lon,distance
2,1,Zone_2_1,51.46043372769223,-0.9330232515868936,"POLYGON ((-0.9330715093549401 51.46034574213575, -0.93307374 51.46034575, -0.9330748411402532 51.46034614198283, -0.9331191658162028 51.46036192063802, -0.9332141396458595 51.46039572932987, -0.9332149 51.460396, -0.9332147431619359 51.46039621417535, -0.9331538668380643 51.46047934582467, -0.93315371 51.46047956, -0.9330931343395356 51.46050483757887, -0.9329261547225944 51.46055363798485, -0.9328974383725088 51.4604858753135, -0.9328950474706077 51.46047687268815, -0.9328899194798371 51.460439039315936, -0.9328827286308736 51.46038498130866, -0.9328820741459452 51.46037961878305, -0.9328803123147134 51.46036196607903, -0.932884987558367 51.46035632013673, -0.932902129451808 51.46034632446757, -0.9330715093549401 51.46034574213575))",51.46034574213575,51.46055363798485,-0.9332149,-0.9328803123147134,20428,D,51.461,-0.9318,0.001347964677351431
2,2,Zone_2_2,51.460841293735335,-0.9324491542004143,"POLYGON ((-0.9326142993127521 51.46076904341612, -0.93241827 51.46090031, -0.9324180351727589 51.46090021559758, -0.9324125232807752 51.460897999772996, -0.9323123729857725 51.4608577385547, -0.9323123729857724 51.460857738554694, -0.9323123729857724 51.46085773855469, -0.9323261347640118 51.46085307966503, -0.9323920034589228 51.460833121096705, -0.9324308141260054 51.46082153279315, -0.9325689238979928 51.46078061464789, -0.9326142993127521 51.46076904341612))",51.46076904341612,51.46090031,-0.9326142993127521,-0.9323123729857724,73823,D,51.461,-0.9318,0.0006682730387790794
2,3,Zone_2_3,51.46065100474648,-0.932498573972872,"POLYGON ((-0.9324976038286745 51.4605716314851, -0.9325591031086178 51.46057309458585, -0.9326681593558213 51.46059060595687, -0.9327730939013769 51.46068444356111, -0.9327003243287674 51.46072050650315, -0.9324381799309067 51.46072646955252, -0.9323679826893397 51.46071758768568, -0.9323292214976725 51.46071201176528, -0.9323174400745022 51.4607098262924, -0.932313724252282 51.46070889636899, -0.9322790089015557 51.46069824104646, -0.9322655743214371 51.4606882072035, -0.9322679111314809 51.460610127533485, -0.9322823568625728 51.4605804268787, -0.9322847443558808 51.46058019352221, -0.9323772448989469 51.46057616027146, -0.9324976038286745 51.4605716314851))",51.4605716314851,51.46072646955252,-0.9327730939013769,-0.9322655743214371,11434,D,51.461,-0.9318,0.0007808990219945042
2,4,Zone_2_4,51.46046788971512,-0.9324194737487387,"POLYGON ((-0.93238749 51.46030032, -0.9324186787140809 51.46030432175193, -0.9324333245788279 51.46031620297514, -0.9325181316867552 51.46042049807338, -0.9325590848148146 51.46047154810965, -0.9325799277091068 51.460497590592276, -0.9326159854804171 51.46055054711878, -0.9326146342045192 51.460552668245924, -0.9325882291842761 51.460565879807824, -0.9324215492972567 51.460574392598815, -0.9324066822991963 51.46057500939611, -0.9322950229451082 51.46057924133857, -0.9322845323147295 51.460579538264724, -0.9322827485385492 51.460578983470846, -0.9322799093496541 51.46055606257957, -0.9322804928638502 51.46047037959791, -0.93228554 51.46041432, -0.9323722609147478 51.460317349089934, -0.93238749 51.46030032))",51.46030032,51.460579538264724,-0.9326159854804171,-0.9322799093496541,12984,D,51.461,-0.9318,0.0008166327697631928
2,5,Zone_2_5,51.46077710813778,-0.9323574926629699,"POLYGON ((-0.9322647813621182 51.4607032911787, -0.9322654000000001 51.46070336499999, -0.9323054660557568 51.46070866335723, -0.9323845184919732 51.4607201061132, -0.9324083983415039 51.460723638600285, -0.9325129639690838 51.46074847012244, -0.9325113898677673 51.46075566828619, -0.9324533399802977 51.46081231963013, -0.9323786799325048 51.460836035671335, -0.9323132320055607 51.46085496837582, -0.9323074765313089 51.4608557701409, -0.9323074765313086 51.4608557701409, -0.9322939575334712 51.46085033539583, -0.9322684684620991 51.46084008858561, -0.9322552483931552 51.46083477401233, -0.9322484441401493 51.460832038648284, -0.93224795 51.46083184, -0.932248209202155 51.46082896098739, -0.9322487319175812 51.46082315507771, -0.9322492183136194 51.46081775257508, -0.932251190873516 51.46079584293933, -0.9322574986868206 51.46074738321126, -0.9322647813621182 51.4607032911787))",51.4607032911787,51.4608557701409,-0.9325129639690838,-0.93224795,41935,D,51.461,-0.9318,0.0006003989103146297
2,6,Zone_2_6,51.46044470537547,-0.9327022468537912,"POLYGON ((-0.9324472236491744 51.46032387053883, -0.9326328044239885 51.46032555038476, -0.9328648106368505 51.460357450044334, -0.9328787437154153 51.46036149424567, -0.9328802404645151 51.460368229426145, -0.9328894895503178 51.460435921422174, -0.9328931303759735 51.46046334778548, -0.9328955511064992 51.460485289406584, -0.9327777421071267 51.46060889746685, -0.9327204064326775 51.460600671013225, -0.9326587135852678 51.46057170765447, -0.9326309578425459 51.46055254295831, -0.932611635662935 51.46053093601565, -0.9325712852594815 51.460484317866126, -0.9325616484731268 51.46047239603253, -0.9324472236491744 51.46032387053883))",51.46032387053883,51.46060889746685,-0.9328955511064992,-0.9324472236491744,9252,D,51.461,-0.9318,0.0010594345214328526
3,1,Zone_3_1,51.46049058738732,-0.9328330565434341,"POLYGON ((-0.9328268259726719 51.46045748689593, -0.9328381821153434 51.46045850528701, -0.9328650470442628 51.46046161580396, -0.9329287341209614 51.4604692907569, -0.9330303943170741 51.46048167286408, -0.933062244282325 51.4604871997826, -0.9330512081065596 51.4604936389992, -0.9330324692554909 51.46049668729319, -0.9328726705353474 51.46052268213536, -0.93286961 51.46052318, -0.9328679935129938 51.46052312365782, -0.9327672170720203 51.46051961112398, -0.9327050734785306 51.460517445126904, -0.9326903106091404 51.46051693057134, -0.9326748800948257 51.4605163927452, -0.9326661508011403 51.46051377397625, -0.9326656129483102 51.46051019882549, -0.9326787055325131 51.46047910508112, -0.9326851082543778 51.46046465644983, -0.9326872807813765 51.46046259859179, -0.9326940435403358 51.46046182365873, -0.9326995924178543 51.46046125951556, -0.9327065868837618 51.46046102404907, -0.9327502007887634 51.46045971356213, -0.9328136755845458 51.46045783738656, -0.9328268259726719 51.46045748689593))",51.46045748689593,51.46052318,-0.933062244282325,-0.9326656129483102,52638,,,,
3,2,Zone_3_2,51.460368567189214,-0.9323404199792671,"POLYGON ((-0.93223681 51.46033603, -0.9322536117634416 51.460337596955355, -0.9324788776763808 51.46036270240992, -0.9324777862075446 51.46037116587044, -0.9324764988429517 51.460375079162894, -0.9324566247867284 51.46037889603466, -0.9324308632583621 51.46038236707813, -0.9323421835799472 51.460392494007856, -0.9322654168013971 51.4603994733267, -0.9322611480169978 51.46039000614163, -0.9322521740052484 51.46037010384108, -0.93223681 51.46033603))",51.46033603,51.4603994733267,-0.9324788776763808,-0.93223681,3592,,,,
3,3,Zone_3_3,51.46042599928967,-0.9327826113311285,"POLYGON ((-0.9327753937121012 51.460389433257376, -0.9328961008526713 51.46039751636293, -0.9329360876647447 51.46040124558749, -0.9329472327114188 51.460402284989726, -0.9329702396702879 51.46040699479485, -0.9329697882954381 51.460407735237844, -0.9329558710602668 51.46041304915383, -0.9329439661148712 51.460417479304596, -0.9329105173377696 51.460429020665565, -0.9328772203180669 51.46044048191841, -0.9328708356941571 51.46044267441902, -0.9328310887053044 51.46045630484733, -0.9328304648408022 51.4604564677607, -0.9328290466305847 51.4604568213105, -0.9328243701245521 51.46045712907305, -0.9328137448384162 51.46045767342278, -0.9327423263739439 51.46045977705082, -0.9327030040252139 51.46046091109134, -0.9326894491192668 51.460460983940834, -0.9326809551579746 51.46046017034871, -0.9326757018695815 51.46045950675911, -0.9326513592506297 51.460456266940454, -0.93262905891636 51.46045312973045, -0.9326121467642239 51.4604507484326, -0.9326076202141269 51.460449338210566, -0.9326057395819164 51.46044847342122, -0.9326065278483108 51.460447527169386, -0.9326261666834481 51.46043855297537, -0.9326349010187643 51.46043473074374, -0.9326921712610541 51.460409778571936, -0.932727675919773 51.460395270689624, -0.93273697307697 51.46039158906896, -0.9327753937121012 51.460389433257376))",51.460389433257376,51.460460983940834,-0.9329702396702879,-0.9326057395819164,45786,,,,
3,4,Zone_3_4,51.46047863984531,-0.9324878536332533,"POLYGON ((-0.9322860074520734 51.460445138669, -0.9324072434095574 51.46044656246695, -0.9325754906693359 51.46044893084425, -0.9326074473026362 51.46045019301729, -0.9326521356363763 51.46045657548671, -0.9326769908450036 51.46046024753307, -0.9326799225707691 51.46046100893801, -0.9326809959468344 51.46046158586382, -0.9326827503778257 51.46046543389434, -0.9326806448223223 51.46047396793371, -0.9326772568851186 51.460481706684575, -0.9326687914765112 51.46050095875406, -0.9326649646057827 51.46050922924543, -0.9326619187523282 51.46051436392283, -0.9326254619185892 51.46051467028889, -0.9326083097426778 51.460514072454735, -0.9323552962168811 51.46050525374112, -0.9323272125959992 51.46050427489459, -0.93231244 51.46050376, -0.9323110472318131 51.460500671159494, -0.9323101774238485 51.460498742124855, -0.9323051400658812 51.46048757041982, -0.9322860074520734 51.460445138669))",51.460445138669,51.46051467028889,-0.9326827503778257,-0.9322860074520734,97203,,,,
